ID,Dim1,Dim2,Dim3,Referendum,Option_Ind,Option_SouAss,Option_Prov,Argument_Droit,Argument_Resssources,Argument_Faisable,Honte_Racisme,Honte_Colonialisme,Futur_Francais,Futur_Economie,Futur_culture,Opinion_Immigration,Opinion_sociale,Opinion_economique,Opinion_feministe,Opinion_lgbtq,Attitude_risque,Vote_provincial,Vote_federal,Genre,Langue,Age,Origine,Scolarite,Revenus
Ind_1887,2.021672,0.192387,-0.368297,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,NSP,ACCORD,NEUTRE,NEUTRE,PESSIMISTE,PESSIMISTE,NEUTRE,Responsabilité mixte,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PLQ,PLC,Homme,Non francophones,60 ans et plus,Né Canada,Collégial,NSP
Ind_1888,-2.195308,0.721583,0.640677,Sou_OUI,POUR,NSP,CONTRE,POUR,POUR,POUR,NSP,NSP,NEUTRE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,NSP,Feministe: CONTRE féministe,NSP,NSP,PQ,BQ,Homme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1889,1.635503,1.944651,0.012581,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,PESSIMISTE,PESSIMISTE,NEUTRE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministe: CONTRE féministe,Feministe: CONTRE féministe,Risque facile,CAQ,PLC,Homme,Francophones,40-59 ans,Né Canada,Collégial,NSP
Ind_1890,0.849443,-0.127977,0.127853,Sou_NON,CONTRE,CONTRE,POUR,POUR,NEUTRE,NEUTRE,ACCORD,ACCORD,PESSIMISTE,PESSIMISTE,NSP,POUR,Responsabilité mixte,Economie: privé seulement,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,PQ,PLC,Femme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus moyens
Ind_1891,0.96582,0.798359,-0.105892,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,OPTIMISTE,PESSIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,PQ,PLC,Femme,Francophones,18-39 ans,Né Canada,Secondaire,NSP
Ind_1892,-1.95581,0.367091,-1.241441,Sou_OUI,POUR,CONTRE,POUR,POUR,POUR,POUR,ACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,BQ,Homme,Francophones,40-59 ans,Né Canada,Collégial,Revenus moyens
Ind_1893,1.920202,0.824385,-0.578783,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,NEUTRE,NEUTRE,NEUTRE,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: neutre,Féministe: POUR féministe,Feministre: NEUTRE féministe,Risque facile,PLQ,PLC,Homme,Non francophones,40-59 ans,Né Canada,Universitaire,Revenus moyens
Ind_1894,-2.814516,-0.280971,-1.212717,Sou_OUI,POUR,POUR,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,BQ,Femme,Francophones,60 ans et plus,Né Canada,Universitaire,Revenus moyens
Ind_1895,-1.893704,-0.069439,0.056322,Sou_NSP,POUR,POUR,POUR,POUR,NEUTRE,POUR,NEUTRE,DÉSACCORD,OPTIMISTE,NEUTRE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: privé et public,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque difficile,PQ,BQ,Homme,Francophones,18-39 ans,Né Canada,Universitaire,Revenus moyens
Ind_1896,0.903403,0.505478,0.114925,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,POUR,POUR,ACCORD,NSP,NEUTRE,NEUTRE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: privé seulement,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,NSP,Vote fed: NSP,Homme,Non francophones,60 ans et plus,Né Ailleurs,Universitaire,NSP
Ind_1897,1.667776,0.356029,0.172316,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,NSP,NEUTRE,NEUTRE,OPTIMISTE,PESSIMISTE,NEUTRE,NSP,Responsabilité individuelle,Economie: neutre,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,NSP,PLC,Femme,Non francophones,40-59 ans,Né Ailleurs,Universitaire,Revenus bas
Ind_1898,1.602113,2.130455,0.06933,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: privé seulement,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,PCQ,PCC,Homme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1899,1.658781,0.323853,0.327851,Sou_NON,CONTRE,CONTRE,POUR,NEUTRE,NEUTRE,CONTRE,NEUTRE,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: privé seulement,Feministe: CONTRE féministe,Feministe: CONTRE féministe,Risque difficile,PLQ,PLC,Femme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus bas
Ind_1900,-1.276387,-0.742371,0.562143,Sou_OUI,POUR,POUR,POUR,NEUTRE,POUR,NEUTRE,NEUTRE,NEUTRE,NEUTRE,NEUTRE,OPTIMISTE,CONTRE,Responsabilité collective,Economie: privé seulement,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,Vote fed: NSP,Femme,Francophones,40-59 ans,Né Canada,Collégial,Revenus élevés
Ind_1901,-1.089244,0.227088,-0.310724,Sou_NSP,CONTRE,POUR,POUR,POUR,POUR,POUR,NEUTRE,DÉSACCORD,NEUTRE,PESSIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: neutre,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,BQ,Homme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus moyens
Ind_1902,-0.149414,-2.136773,0.444557,Sou_NSP,CONTRE,POUR,POUR,POUR,NEUTRE,NEUTRE,ACCORD,ACCORD,NEUTRE,NEUTRE,NSP,POUR,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,QS,Vote fed: NSP,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus bas
Ind_1903,1.085593,1.462605,-0.499199,Sou_NON,CONTRE,CONTRE,POUR,POUR,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,OPTIMISTE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: privé et public,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque facile,NSP,PLC,Homme,Francophones,40-59 ans,Né Canada,Collégial,Revenus bas
Ind_1904,2.06838,1.334329,-0.554484,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,ACCORD,ACCORD,PESSIMISTE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PCQ,PCC,Homme,Non francophones,60 ans et plus,Né Canada,Universitaire,Revenus élevés
Ind_1905,-1.518934,-0.477708,-0.018424,Sou_OUI,POUR,CONTRE,CONTRE,POUR,POUR,POUR,ACCORD,ACCORD,NSP,OPTIMISTE,NEUTRE,NEUTRE,Responsabilité mixte,Economie: privé et public,NSP,NSP,Risque difficile,QS,BQ,Homme,Francophones,40-59 ans,Né Canada,Collégial,Revenus bas
Ind_1906,-1.915918,0.218589,-0.291638,Sou_NON,POUR,POUR,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: neutre,Féministe: POUR féministe,Féministe: POUR féministe,NSP,NSP,PCC,Homme,Francophones,18-39 ans,Né Canada,Universitaire,Revenus moyens
Ind_1907,0.240561,0.879667,0.7984,Sou_NON,CONTRE,POUR,POUR,POUR,NEUTRE,NEUTRE,ACCORD,DÉSACCORD,NEUTRE,NSP,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: neutre,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PQ,PLC,Homme,Francophones,40-59 ans,Né Canada,Collégial,Revenus moyens
Ind_1908,-0.161566,-1.667882,0.366714,Sou_NSP,NSP,POUR,CONTRE,NEUTRE,NEUTRE,CONTRE,NEUTRE,NEUTRE,NEUTRE,PESSIMISTE,OPTIMISTE,NEUTRE,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,NSP,PLC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus moyens
Ind_1909,0.817642,-0.40867,0.415167,Sou_NON,CONTRE,POUR,CONTRE,NEUTRE,CONTRE,CONTRE,ACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,NEUTRE,CONTRE,Responsabilité mixte,Economie: privé et public,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque difficile,NSP,PLC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus bas
Ind_1910,0.50216,1.545496,-0.250162,Sou_NON,CONTRE,CONTRE,POUR,NEUTRE,POUR,POUR,DÉSACCORD,DÉSACCORD,PESSIMISTE,NEUTRE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque difficile,CAQ,PCC,Homme,Non francophones,60 ans et plus,Né Canada,Universitaire,Revenus moyens
Ind_1911,2.248949,-1.274056,-1.221199,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,ACCORD,ACCORD,PESSIMISTE,PESSIMISTE,PESSIMISTE,POUR,Responsabilité mixte,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,PLQ,PLC,Femme,Non francophones,60 ans et plus,Né Canada,Secondaire,NSP
Ind_1912,1.772513,-0.034394,0.369785,Sou_NON,CONTRE,POUR,POUR,CONTRE,CONTRE,CONTRE,NSP,ACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,NSP,Feministre: NEUTRE féministe,Feministe: CONTRE féministe,Risque difficile,PCQ,PCC,Femme,Non francophones,18-39 ans,Né Canada,Collégial,Revenus moyens
Ind_1913,1.763988,1.06898,0.156511,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,NEUTRE,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: neutre,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque difficile,PCQ,PCC,Homme,Francophones,18-39 ans,Né Canada,Collégial,Revenus moyens
Ind_1914,1.355167,1.649934,0.51938,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,PESSIMISTE,NEUTRE,NEUTRE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque facile,PCQ,PCC,Femme,Francophones,40-59 ans,Né Canada,Collégial,Revenus élevés
Ind_1915,2.151706,1.142819,-0.099976,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministe: CONTRE féministe,Feministe: CONTRE féministe,Risque difficile,PLQ,PLC,Femme,Non francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1916,0.350085,0.163583,1.397553,Sou_NON,CONTRE,CONTRE,CONTRE,NEUTRE,NEUTRE,NEUTRE,NEUTRE,DÉSACCORD,NSP,NSP,NEUTRE,CONTRE,Responsabilité collective,Economie: privé seulement,Feministe: CONTRE féministe,Feministe: CONTRE féministe,Risque facile,Vote prov: NSP,PVQ,Femme,Francophones,18-39 ans,Né Canada,Secondaire,Revenus bas
Ind_1917,2.084173,-0.424748,-0.157284,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,ACCORD,NEUTRE,NSP,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,NSP,Vote fed: NSP,Femme,Non francophones,18-39 ans,Né Canada,Universitaire,Revenus moyens
Ind_1918,0.484229,0.583723,0.071187,Sou_NON,POUR,CONTRE,NSP,CONTRE,NEUTRE,CONTRE,DÉSACCORD,NEUTRE,OPTIMISTE,PESSIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque facile,PCQ,PCC,Femme,Non francophones,18-39 ans,Né Canada,Collégial,Revenus moyens
Ind_1919,1.406631,0.365167,0.613521,Sou_NON,CONTRE,POUR,POUR,CONTRE,CONTRE,CONTRE,NEUTRE,NEUTRE,PESSIMISTE,PESSIMISTE,NEUTRE,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,NSP,PLC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus moyens
Ind_1920,-2.380572,-0.243597,-0.053578,Sou_OUI,POUR,CONTRE,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: neutre,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,PQ,BQ,Femme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1921,-2.268675,-0.619251,-0.710188,Sou_OUI,POUR,POUR,CONTRE,POUR,POUR,CONTRE,NEUTRE,DÉSACCORD,OPTIMISTE,NEUTRE,OPTIMISTE,POUR,Responsabilité mixte,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,BQ,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus bas
Ind_1922,1.201756,0.549718,1.536273,Sou_NON,CONTRE,NSP,POUR,CONTRE,NEUTRE,NEUTRE,ACCORD,NSP,NSP,PESSIMISTE,NSP,CONTRE,Responsabilité individuelle,Economie: privé seulement,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,Vote prov: NSP,Vote fed: NSP,Homme,Non francophones,40-59 ans,Né Canada,Collégial,Revenus bas
Ind_1923,-1.325578,0.444308,-0.164882,Sou_OUI,POUR,POUR,CONTRE,CONTRE,CONTRE,CONTRE,ACCORD,NEUTRE,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: neutre,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque difficile,PQ,BQ,Homme,Francophones,40-59 ans,Né Canada,Secondaire,Revenus moyens
Ind_1924,-1.916743,-0.457091,-0.179009,Sou_OUI,POUR,POUR,CONTRE,POUR,NEUTRE,POUR,NEUTRE,DÉSACCORD,NEUTRE,NEUTRE,OPTIMISTE,POUR,Responsabilité mixte,Economie: privé et public,Féministe: POUR féministe,Feministre: NEUTRE féministe,Risque facile,PQ,Vote fed: NSP,Femme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus élevés
Ind_1925,-1.326346,0.322115,-0.914801,Sou_OUI,CONTRE,CONTRE,CONTRE,POUR,POUR,POUR,NEUTRE,ACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: privé seulement,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,CAQ,PLC,Homme,Francophones,18-39 ans,Né Canada,Secondaire,Revenus élevés
Ind_1926,-1.28626,0.50577,1.237297,Sou_OUI,POUR,POUR,CONTRE,NEUTRE,NEUTRE,NEUTRE,ACCORD,DÉSACCORD,NEUTRE,OPTIMISTE,OPTIMISTE,NEUTRE,Responsabilité mixte,Economie: neutre,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,Vote prov: NSP,Vote fed: NSP,Homme,Francophones,40-59 ans,Né Canada,Collégial,NSP
